first_image,second_image,answers,correct_answer,rule,action
-52,-32,-20,0,0,0
3,30,-27,0,0,0
24,-20,44,1,0,1
-33,-14,-19,0,0,0
-44,-6,-38,0,0,0
-3,-14,11,1,0,1
24,37,-13,0,0,0
22,23,-1,0,0,0
66,29,37,1,0,1
6,-25,31,1,0,1
89,44,45,1,0,1
36,35,1,1,0,1
79,37,42,1,0,1
-41,4,-45,0,1,1
-37,-13,-24,0,1,1
-6,14,-20,0,1,1
-31,-21,-10,0,1,1
23,29,-6,0,1,1
-20,6,-26,0,1,1
-27,-5,-22,0,1,1
68,41,27,1,1,0
41,-4,45,1,1,0
-15,-15,0,0,1,1
5,-2,7,1,1,0
-65,-22,-43,0,1,1
34,9,25,1,1,0
33,5,28,1,1,0
-9,-33,24,1,1,0
20,20,0,0,1,1
42,30,12,1,1,0
-83,-38,-45,0,1,1
39,34,5,1,1,0
17,5,12,1,1,0
42,20,22,1,1,0
-20,23,-43,0,0,0
-83,-40,-43,0,0,0
-42,-26,-16,0,0,0
47,38,9,1,0,1
-28,4,-32,0,0,0
-6,30,-36,0,0,0
-55,-30,-25,0,0,0
11,16,-5,0,0,0
-5,10,-15,0,0,0
49,25,24,1,0,1
-4,-8,4,1,0,1
43,2,41,1,0,1
21,-11,32,1,0,1
1,-21,22,1,0,1
1,19,-18,0,1,1
42,0,42,1,1,0
-74,-36,-38,0,1,1
58,43,15,1,1,0
-30,-27,-3,0,1,1
-12,-27,15,1,1,0
39,43,-4,0,1,1
-16,-4,-12,0,1,1
-14,-3,-11,0,1,1
24,32,-8,0,1,1
15,-25,40,1,0,1
-14,-17,3,1,0,1
79,34,45,1,0,1
43,26,17,1,0,1
-25,-24,-1,0,0,0
-9,-10,1,1,0,1
-32,-19,-13,0,0,0
-10,-10,0,0,0,0
14,39,-25,0,0,0
-60,-16,-44,0,0,0
-52,-39,-13,0,0,0
63,19,44,1,0,1
-68,-31,-37,0,0,0
56,17,39,1,0,1
-47,-19,-28,0,0,0
3,15,-12,0,0,0
48,38,10,1,0,1
16,7,9,1,0,1
32,7,25,1,0,1
-27,-8,-19,0,0,0
-52,-19,-33,0,0,0
12,-15,27,1,1,0
52,8,44,1,1,0
25,22,3,1,1,0
66,37,29,1,1,0
-50,-28,-22,0,1,1
-8,-43,35,1,1,0
-48,-18,-30,0,1,1
-55,-41,-14,0,1,1
13,-8,21,1,1,0
77,32,45,1,1,0
-7,-13,6,1,1,0
31,8,23,1,1,0
-1,-6,5,1,0,1
-39,-9,-30,0,0,0
-56,-33,-23,0,0,0
-13,-26,13,1,0,1
44,31,13,1,0,1
-7,33,-40,0,0,0
79,41,38,1,0,1
-43,-1,-42,0,0,0
17,27,-10,0,0,0
-22,-39,17,1,1,0
-35,1,-36,0,1,1
8,40,-32,0,1,1
38,11,27,1,1,0
-50,-32,-18,0,1,1
70,42,28,1,1,0
0,-20,20,1,1,0
-68,-28,-40,0,1,1
-51,-24,-27,0,1,1
-12,-20,8,1,1,0
2,-10,12,1,1,0
48,33,15,1,1,0
6,-17,23,1,1,0
26,40,-14,0,1,1
-27,-7,-20,0,1,1
5,-29,34,1,1,0
22,-23,45,1,1,0
-21,-11,-10,0,1,1
-43,-14,-29,0,1,1
30,-4,34,1,1,0
-80,-35,-45,0,1,1
-33,-20,-13,0,0,0
26,23,3,1,0,1
-59,-26,-33,0,0,0
44,12,32,1,0,1
-13,-20,7,1,0,1
52,27,25,1,0,1
-56,-15,-41,0,0,0
-35,-1,-34,0,0,0
-28,-5,-23,0,1,1
30,35,-5,0,1,1
36,4,32,1,1,0
21,31,-10,0,1,1
-42,3,-45,0,1,1
-24,-8,-16,0,1,1
28,-13,41,1,1,0
11,-26,37,1,1,0
-23,5,-28,0,1,1
-14,12,-26,0,1,1
52,23,29,1,1,0
29,-11,40,1,1,0
-47,-12,-35,0,1,1
56,22,34,1,1,0
4,41,-37,0,1,1
-45,-33,-12,0,1,1
25,-1,26,1,0,1
-17,9,-26,0,0,0
40,36,4,1,0,1
-17,21,-38,0,0,0
-14,-12,-2,0,0,0
15,37,-22,0,0,0
-26,12,-38,0,0,0
-83,-44,-39,0,0,0
-27,-20,-7,0,0,0
-15,-22,7,1,0,1
12,36,-24,0,0,0
8,4,4,1,0,1
-64,-37,-27,0,0,0
15,-12,27,1,0,1
-61,-43,-18,0,0,0
19,9,10,1,0,1
46,33,13,1,1,0
10,12,-2,0,1,1
27,17,10,1,1,0
6,25,-19,0,1,1
-14,-12,-2,0,1,1
34,21,13,1,1,0
-24,-14,-10,0,1,1
43,9,34,1,1,0
28,34,-6,0,0,0
24,28,-4,0,0,0
-64,-35,-29,0,0,0
-43,-26,-17,0,0,0
-51,-23,-28,0,0,0
19,-11,30,1,0,1
-85,-41,-44,0,0,0
57,23,34,1,0,1
-47,-31,-16,0,0,0
-42,-22,-20,0,0,0
62,22,40,1,0,1
-35,-18,-17,0,0,0
-37,-11,-26,0,0,0
-8,-34,26,1,0,1
24,30,-6,0,1,1
-12,27,-39,0,1,1
28,19,9,1,1,0
87,42,45,1,1,0
23,-2,25,1,1,0
-4,-35,31,1,1,0
74,40,34,1,1,0
12,28,-16,0,1,1
29,9,20,1,1,0
-5,-39,34,1,1,0
33,26,7,1,1,0
18,38,-20,0,1,1
-33,-37,4,1,1,0
30,13,17,1,1,0
24,10,14,1,1,0
37,22,15,1,1,0
-58,-43,-15,0,1,1
-4,26,-30,0,1,1
25,24,1,1,1,0
-8,-30,22,1,1,0
-36,7,-43,0,0,0
9,11,-2,0,0,0
-69,-30,-39,0,0,0
60,18,42,1,0,1
-48,-10,-38,0,0,0
26,-18,44,1,0,1
-43,-2,-41,0,0,0
-34,11,-45,0,0,0
-3,39,-42,0,0,0
-12,9,-21,0,0,0
34,42,-8,0,0,0
-9,-24,15,1,0,1
-22,-12,-10,0,0,0
-18,-7,-11,0,0,0
-49,-43,-6,0,0,0
48,19,29,1,0,1
78,34,44,1,0,1
38,31,7,1,0,1
-12,-1,-11,0,0,0
-68,-31,-37,0,0,0
-25,9,-34,0,0,0
36,26,10,1,1,0
12,33,-21,0,1,1
43,19,24,1,1,0
30,2,28,1,1,0
-9,-34,25,1,1,0
-1,-10,9,1,1,0
-23,-33,10,1,1,0
24,34,-10,0,1,1
-2,-8,6,1,1,0
12,-12,24,1,1,0
76,40,36,1,1,0
45,31,14,1,1,0
-11,-33,22,1,1,0
54,30,24,1,1,0
45,37,8,1,1,0
15,15,0,0,1,1
-48,-42,-6,0,1,1
5,10,-5,0,1,1
12,-13,25,1,1,0
-32,-31,-1,0,1,1
-60,-19,-41,0,1,1
1,-40,41,1,0,1
-2,-19,17,1,0,1
43,9,34,1,0,1
9,42,-33,0,0,0
-45,-17,-28,0,0,0
18,-3,21,1,0,1
18,37,-19,0,0,0
24,38,-14,0,0,0
19,-6,25,1,0,1
-34,-11,-23,0,0,0
34,16,18,1,0,1
61,30,31,1,0,1
-15,30,-45,0,0,0
-15,28,-43,0,0,0
-73,-41,-32,0,0,0
-4,-32,28,1,0,1
-10,-28,18,1,1,0
-29,13,-42,0,1,1
36,15,21,1,1,0
-42,-33,-9,0,1,1
78,37,41,1,1,0
-79,-39,-40,0,1,1
46,44,2,1,1,0
-78,-39,-39,0,1,1
-42,-24,-18,0,1,1
28,-6,34,1,1,0
15,37,-22,0,1,1
6,32,-26,0,1,1
-23,-16,-7,0,1,1
59,39,20,1,1,0
28,17,11,1,1,0
-50,-31,-19,0,1,1
-19,-22,3,1,0,1
61,37,24,1,0,1
-12,-37,25,1,0,1
-13,-39,26,1,0,1
-29,-17,-12,0,0,0
-58,-32,-26,0,0,0
-9,-13,4,1,0,1
-14,-45,31,1,0,1
1,-10,11,1,0,1
-27,-31,4,1,0,1
5,-40,45,1,0,1
36,34,2,1,1,0
-53,-42,-11,0,1,1
-8,26,-34,0,1,1
-55,-22,-33,0,1,1
10,26,-16,0,1,1
19,12,7,1,1,0
23,15,8,1,1,0
3,0,3,1,1,0
-16,15,-31,0,1,1
-12,27,-39,0,1,1
1,0,1,1,1,0
75,38,37,1,1,0
-4,-31,27,1,1,0
63,44,19,1,1,0
18,-19,37,1,1,0
41,12,29,1,0,1
5,25,-20,0,0,0
57,22,35,1,0,1
15,-24,39,1,0,1
48,22,26,1,0,1
14,-23,37,1,0,1
24,33,-9,0,0,0
-34,-1,-33,0,0,0
-6,11,-17,0,0,0
2,-10,12,1,0,1
-42,-23,-19,0,0,0
57,35,22,1,0,1
52,42,10,1,0,1
17,44,-27,0,0,0
18,41,-23,0,0,0
-17,-8,-9,0,0,0
33,-11,44,1,0,1
5,-3,8,1,0,1
-38,-8,-30,0,0,0
-8,31,-39,0,0,0
-13,-3,-10,0,0,0
5,1,4,1,1,0
-13,9,-22,0,1,1
53,36,17,1,1,0
-23,-23,0,0,1,1
-15,-27,12,1,1,0
-18,-6,-12,0,1,1
6,9,-3,0,1,1
2,-13,15,1,1,0
-66,-40,-26,0,1,1
-14,-16,2,1,1,0
-1,-17,16,1,1,0
-16,8,-24,0,1,1
-3,-45,42,1,1,0
19,41,-22,0,1,1
-13,-43,30,1,1,0
-47,-19,-28,0,1,1
17,2,15,1,1,0
-57,-22,-35,0,1,1
0,19,-19,0,1,1
57,43,14,1,1,0
48,26,22,1,1,0
28,23,5,1,0,1
20,-2,22,1,0,1
0,-2,2,1,0,1
-31,-37,6,1,0,1
-17,-26,9,1,0,1
-47,-21,-26,0,0,0
-9,-10,1,1,0,1
-33,9,-42,0,0,0
-22,-28,6,1,0,1
35,39,-4,0,0,0
29,25,4,1,0,1
-43,-27,-16,0,1,1
34,16,18,1,1,0
-42,-2,-40,0,1,1
5,-31,36,1,1,0
-41,-27,-14,0,1,1
52,39,13,1,1,0
9,-31,40,1,1,0
-78,-37,-41,0,1,1
-20,0,-20,0,1,1
-8,-23,15,1,1,0
38,19,19,1,1,0
-18,10,-28,0,1,1
-32,-19,-13,0,1,1
-61,-27,-34,0,0,0
77,39,38,1,0,1
-30,-28,-2,0,0,0
15,-15,30,1,0,1
0,-4,4,1,0,1
16,2,14,1,0,1
-21,12,-33,0,0,0
-81,-42,-39,0,0,0
-16,-10,-6,0,0,0
-3,20,-23,0,0,0
-2,-42,40,1,0,1
-41,-41,0,0,0,0
66,30,36,1,0,1
37,42,-5,0,0,0
4,-12,16,1,0,1
-9,10,-19,0,0,0
-2,4,-6,0,1,1
-21,8,-29,0,1,1
-35,-25,-10,0,1,1
44,37,7,1,1,0
9,41,-32,0,1,1
19,6,13,1,1,0
11,-31,42,1,1,0
2,2,0,0,1,1
18,-26,44,1,1,0
-73,-35,-38,0,1,1
32,21,11,1,1,0
6,-17,23,1,1,0
23,42,-19,0,1,1
50,24,26,1,1,0
-6,18,-24,0,0,0
8,23,-15,0,0,0
18,34,-16,0,0,0
19,-13,32,1,0,1
15,6,9,1,0,1
-33,10,-43,0,0,0
-43,-16,-27,0,0,0
-2,-45,43,1,0,1
-42,-8,-34,0,0,0
-21,18,-39,0,0,0
-35,-45,10,1,0,1
-72,-32,-40,0,0,0
36,24,12,1,0,1
38,6,32,1,0,1
-74,-42,-32,0,0,0
-38,-16,-22,0,0,0
-30,-23,-7,0,0,0
3,-24,27,1,0,1
-68,-30,-38,0,0,0
12,12,0,0,0,0
-4,-35,31,1,0,1
13,-9,22,1,1,0
25,0,25,1,1,0
27,-2,29,1,1,0
-2,-1,-1,0,1,1
35,-9,44,1,1,0
38,34,4,1,1,0
-10,-43,33,1,1,0
75,44,31,1,1,0
28,6,22,1,1,0
-4,23,-27,0,1,1
16,13,3,1,1,0
51,44,7,1,1,0
-8,-20,12,1,1,0
3,-24,27,1,1,0
32,26,6,1,1,0
53,8,45,1,1,0
-11,9,-20,0,1,1
-74,-30,-44,0,1,1
-5,-18,13,1,1,0
-32,7,-39,0,1,1
-53,-22,-31,0,0,0
10,-7,17,1,0,1
-26,-4,-22,0,0,0
10,14,-4,0,0,0
-5,-13,8,1,0,1
55,36,19,1,0,1
-32,-33,1,1,0,1
2,40,-38,0,0,0
12,-3,15,1,0,1
-8,-2,-6,0,0,0
23,-13,36,1,0,1
21,-17,38,1,0,1
-5,6,-11,0,0,0
3,-4,7,1,0,1
-32,10,-42,0,0,0
45,7,38,1,1,0
-72,-43,-29,0,1,1
10,44,-34,0,1,1
-16,-44,28,1,1,0
62,41,21,1,1,0
10,10,0,0,1,1
-15,10,-25,0,1,1
42,22,20,1,1,0
-36,-28,-8,0,1,1
-23,-6,-17,0,1,1
17,-23,40,1,1,0
-54,-33,-21,0,1,1
53,25,28,1,1,0
33,-7,40,1,1,0
3,3,0,0,0,0
87,44,43,1,0,1
17,-3,20,1,0,1
-27,8,-35,0,0,0
-8,-36,28,1,0,1
20,3,17,1,0,1
-9,-31,22,1,0,1
-2,18,-20,0,0,0
-25,-16,-9,0,0,0
75,37,38,1,0,1
36,-9,45,1,0,1
-19,21,-40,0,0,0
-49,-33,-16,0,0,0
-51,-34,-17,0,0,0
-8,-17,9,1,0,1
-52,-34,-18,0,1,1
-42,-37,-5,0,1,1
-41,4,-45,0,1,1
26,-14,40,1,1,0
-82,-37,-45,0,1,1
16,10,6,1,1,0
-47,-20,-27,0,1,1
31,16,15,1,1,0
15,23,-8,0,1,1
26,-1,27,1,0,1
30,20,10,1,0,1
-74,-34,-40,0,0,0
25,30,-5,0,0,0
-13,-2,-11,0,0,0
51,26,25,1,0,1
66,30,36,1,0,1
22,12,10,1,0,1
7,36,-29,0,0,0
-2,-35,33,1,0,1
-24,-15,-9,0,0,0
54,38,16,1,0,1
63,28,35,1,0,1
74,36,38,1,0,1
-39,-16,-23,0,0,0
-3,-3,0,0,0,0
-27,-38,11,1,0,1
11,1,10,1,0,1
-18,-30,12,1,0,1
-33,-1,-32,0,0,0
19,-21,40,1,0,1
40,42,-2,0,1,1
-7,-2,-5,0,1,1
-38,-6,-32,0,1,1
-59,-21,-38,0,1,1
58,42,16,1,1,0
50,25,25,1,1,0
28,27,1,1,1,0
-2,18,-20,0,1,1
-44,-25,-19,0,1,1
78,40,38,1,1,0
1,30,-29,0,1,1
-28,12,-40,0,0,0
-9,-17,8,1,0,1
12,40,-28,0,0,0
37,28,9,1,0,1
-17,19,-36,0,0,0
80,43,37,1,0,1
44,27,17,1,0,1
-62,-18,-44,0,0,0
20,22,-2,0,0,0
0,36,-36,0,0,0
-48,-42,-6,0,0,0
-41,-42,1,1,0,1
-57,-28,-29,0,0,0
-5,13,-18,0,0,0
16,9,7,1,0,1
21,39,-18,0,0,0
25,1,24,1,0,1
-16,27,-43,0,0,0
-1,17,-18,0,0,0
81,44,37,1,0,1
81,44,37,1,0,1
23,11,12,1,1,0
53,28,25,1,1,0
-51,-10,-41,0,1,1
-60,-33,-27,0,1,1
0,35,-35,0,1,1
40,39,1,1,1,0
-5,17,-22,0,1,1
60,27,33,1,1,0
76,44,32,1,1,0
41,23,18,1,1,0
81,43,38,1,1,0
-53,-36,-17,0,1,1
3,-21,24,1,1,0
14,-19,33,1,0,1
21,25,-4,0,0,0
32,18,14,1,0,1
38,29,9,1,0,1
-24,-9,-15,0,0,0
-1,-35,34,1,0,1
4,-23,27,1,0,1
17,41,-24,0,0,0
1,-22,23,1,0,1
-6,-17,11,1,1,0
69,44,25,1,1,0
-71,-28,-43,0,1,1
-58,-44,-14,0,1,1
39,7,32,1,1,0
-40,-7,-33,0,1,1
6,13,-7,0,1,1
-20,13,-33,0,1,1
-55,-10,-45,0,1,1
-50,-5,-45,0,1,1
-1,-24,23,1,1,0
-12,31,-43,0,1,1
64,21,43,1,1,0
-35,-41,6,1,1,0
-49,-29,-20,0,1,1
15,-22,37,1,1,0
30,19,11,1,1,0
-11,5,-16,0,1,1
-56,-26,-30,0,1,1
-8,17,-25,0,1,1
6,7,-1,0,1,1
-4,34,-38,0,0,0
33,9,24,1,0,1
-42,-22,-20,0,0,0
-37,-23,-14,0,0,0
85,41,44,1,0,1
-61,-30,-31,0,0,0
-4,-21,17,1,0,1
-20,8,-28,0,0,0
28,8,20,1,0,1
20,24,-4,0,0,0
42,37,5,1,0,1
31,1,30,1,0,1
-6,-18,12,1,0,1
13,28,-15,0,0,0
-40,-42,2,1,0,1
43,7,36,1,0,1
1,-36,37,1,0,1
-38,-32,-6,0,0,0
-16,-27,11,1,0,1
6,-8,14,1,0,1
21,14,7,1,0,1
16,32,-16,0,1,1
-16,21,-37,0,1,1
-46,-37,-9,0,1,1
-24,-41,17,1,1,0
-7,19,-26,0,1,1
-17,18,-35,0,1,1
49,22,27,1,1,0
43,38,5,1,1,0
0,-12,12,1,1,0
-24,10,-34,0,1,1
-9,-21,12,1,0,1
-9,22,-31,0,0,0
24,-15,39,1,0,1
-5,23,-28,0,0,0
17,13,4,1,0,1
13,-23,36,1,0,1
-52,-8,-44,0,0,0
-1,-44,43,1,0,1
-13,19,-32,0,0,0
55,20,35,1,0,1
29,-4,33,1,1,0
-6,-34,28,1,1,0
16,27,-11,0,1,1
41,1,40,1,1,0
-60,-28,-32,0,1,1
-14,-34,20,1,1,0
41,26,15,1,1,0
-35,7,-42,0,1,1
56,17,39,1,1,0
-40,-31,-9,0,1,1
41,31,10,1,1,0
12,6,6,1,1,0
85,40,45,1,1,0
-20,-2,-18,0,1,1
-17,28,-45,0,1,1
49,10,39,1,1,0
41,6,35,1,1,0
33,0,33,1,1,0
-2,-25,23,1,1,0
-39,-26,-13,0,1,1
32,12,20,1,0,1
-56,-22,-34,0,0,0
-53,-34,-19,0,0,0
-52,-43,-9,0,0,0
2,-21,23,1,0,1
3,8,-5,0,0,0
-10,-24,14,1,0,1
-53,-42,-11,0,0,0
-25,14,-39,0,0,0
-29,-33,4,1,0,1
57,30,27,1,0,1
70,33,37,1,0,1
27,16,11,1,0,1
12,5,7,1,0,1
4,20,-16,0,0,0
57,31,26,1,0,1
13,18,-5,0,1,1
33,44,-11,0,1,1
-22,-38,16,1,1,0
-84,-40,-44,0,1,1
57,38,19,1,1,0
35,26,9,1,1,0
11,-6,17,1,1,0
-56,-30,-26,0,1,1
-12,5,-17,0,1,1
-28,-32,4,1,1,0
7,44,-37,0,1,1
-38,3,-41,0,1,1
-11,5,-16,0,1,1
18,41,-23,0,1,1
4,-6,10,1,1,0
-46,-36,-10,0,1,1
51,28,23,1,1,0
-17,-40,23,1,1,0
-46,-32,-14,0,1,1
-16,-12,-4,0,1,1
-1,0,-1,0,1,1
-2,24,-26,0,0,0
3,-16,19,1,0,1
8,19,-11,0,0,0
-20,-7,-13,0,0,0
6,-19,25,1,0,1
70,39,31,1,0,1
42,23,19,1,0,1
-8,-29,21,1,0,1
45,6,39,1,0,1
79,38,41,1,0,1
-24,-9,-15,0,0,0
-66,-44,-22,0,0,0
36,-8,44,1,0,1
64,25,39,1,0,1
14,-25,39,1,0,1
-36,-22,-14,0,0,0
14,23,-9,0,0,0
-50,-15,-35,0,0,0
25,8,17,1,0,1
50,19,31,1,0,1
5,33,-28,0,0,0
-12,-30,18,1,1,0
-80,-36,-44,0,1,1
-10,10,-20,0,1,1
8,32,-24,0,1,1
-25,-43,18,1,1,0
-57,-20,-37,0,1,1
-24,-37,13,1,1,0
55,31,24,1,1,0
41,7,34,1,1,0
-79,-40,-39,0,1,1
80,39,41,1,1,0
10,13,-3,0,1,1
60,36,24,1,1,0
5,-37,42,1,1,0
-31,6,-37,0,1,1
-31,-9,-22,0,1,1
-31,-19,-12,0,1,1
-26,14,-40,0,1,1
-10,-30,20,1,1,0
5,-19,24,1,1,0
-9,34,-43,0,1,1
-3,-23,20,1,0,1
-18,16,-34,0,0,0
44,4,40,1,0,1
32,-3,35,1,0,1
-16,-10,-6,0,0,0
-36,-26,-10,0,0,0
-9,25,-34,0,0,0
-88,-45,-43,0,0,0
9,31,-22,0,0,0
25,4,21,1,0,1
8,-10,18,1,0,1
-2,1,-3,0,0,0
-34,-42,8,1,0,1
-44,-13,-31,0,0,0
14,-28,42,1,0,1
-33,-20,-13,0,0,0
72,33,39,1,0,1
-6,-31,25,1,0,1
51,27,24,1,0,1
17,-1,18,1,0,1
1,-21,22,1,0,1
-18,-4,-14,0,1,1
-16,-8,-8,0,1,1
42,26,16,1,1,0
-36,4,-40,0,1,1
-50,-45,-5,0,1,1
-58,-15,-43,0,1,1
-14,-6,-8,0,1,1
13,9,4,1,1,0
-4,34,-38,0,1,1
-48,-34,-14,0,1,1
32,32,0,0,1,1
23,39,-16,0,1,1
-44,-31,-13,0,0,0
-58,-39,-19,0,0,0
23,29,-6,0,0,0
-75,-38,-37,0,0,0
31,-2,33,1,0,1
-74,-34,-40,0,0,0
-1,-11,10,1,0,1
7,3,4,1,0,1
4,36,-32,0,0,0
-79,-36,-43,0,0,0
22,19,3,1,0,1
-10,-43,33,1,0,1
-5,14,-19,0,0,0
-52,-41,-11,0,0,0
-58,-22,-36,0,0,0
-3,40,-43,0,0,0
31,40,-9,0,0,0
44,3,41,1,0,1
-16,9,-25,0,0,0
-31,3,-34,0,0,0
39,5,34,1,0,1
-56,-22,-34,0,1,1
74,37,37,1,1,0
15,-19,34,1,1,0
-16,-28,12,1,1,0
-7,37,-44,0,1,1
-4,7,-11,0,1,1
4,3,1,1,1,0
-5,13,-18,0,1,1
20,-3,23,1,1,0
22,31,-9,0,1,1
-33,-13,-20,0,1,1
42,25,17,1,1,0
10,-17,27,1,1,0
27,-16,43,1,1,0
10,17,-7,0,1,1
47,10,37,1,1,0
10,2,8,1,1,0
6,25,-19,0,1,1
-8,30,-38,0,1,1
8,29,-21,0,1,1
0,-32,32,1,1,0
-17,-29,12,1,0,1
-8,18,-26,0,0,0
29,-3,32,1,0,1
34,20,14,1,0,1
-21,-29,8,1,0,1
0,-26,26,1,0,1
59,24,35,1,0,1
56,41,15,1,0,1
-62,-37,-25,0,1,1
77,41,36,1,1,0
5,2,3,1,1,0
-57,-41,-16,0,1,1
81,42,39,1,1,0
-42,-40,-2,0,1,1
-22,-31,9,1,1,0
4,-41,45,1,1,0
15,1,14,1,1,0
69,33,36,1,1,0
75,31,44,1,1,0
29,31,-2,0,1,1
-20,10,-30,0,1,1
-28,-28,0,0,0,0
38,38,0,0,0,0
-25,0,-25,0,0,0
37,21,16,1,0,1
-17,10,-27,0,0,0
32,12,20,1,0,1
38,38,0,0,0,0
-54,-29,-25,0,0,0
5,-16,21,1,0,1
2,-13,15,1,0,1
16,41,-25,0,0,0
-11,-14,3,1,0,1
48,36,12,1,0,1
-32,-24,-8,0,0,0
-16,-19,3,1,0,1
28,0,28,1,0,1
45,15,30,1,0,1
-32,-10,-22,0,0,0
26,-1,27,1,0,1
-10,-26,16,1,0,1
-34,-32,-2,0,0,0
70,29,41,1,1,0
-4,-38,34,1,1,0
13,-11,24,1,1,0
4,-6,10,1,1,0
-8,-31,23,1,1,0
-18,16,-34,0,1,1
20,2,18,1,1,0
-22,8,-30,0,1,1
30,-13,43,1,1,0
64,37,27,1,1,0
66,22,44,1,1,0
-23,-22,-1,0,1,1
15,36,-21,0,1,1
48,39,9,1,1,0
22,39,-17,0,1,1
11,-19,30,1,0,1
23,-4,27,1,0,1
6,23,-17,0,0,0
-21,-5,-16,0,0,0
-37,6,-43,0,0,0
65,43,22,1,0,1
5,-37,42,1,0,1
76,32,44,1,0,1
45,33,12,1,0,1
-23,9,-32,0,0,0
52,23,29,1,0,1
-2,1,-3,0,1,1
-61,-27,-34,0,1,1
31,11,20,1,1,0
13,-12,25,1,1,0
-11,24,-35,0,1,1
18,-15,33,1,1,0
-39,-27,-12,0,1,1
-42,-13,-29,0,1,1
-29,10,-39,0,1,1
32,-2,34,1,1,0
-56,-26,-30,0,1,1
-54,-10,-44,0,1,1
76,41,35,1,1,0
-48,-4,-44,0,1,1
-38,-18,-20,0,1,1
3,15,-12,0,1,1
-44,-9,-35,0,1,1
-34,3,-37,0,1,1
8,-5,13,1,1,0
1,-15,16,1,1,0
-54,-28,-26,0,1,1
2,26,-24,0,0,0
21,31,-10,0,0,0
-9,-34,25,1,0,1
12,-15,27,1,0,1
9,24,-15,0,0,0
46,36,10,1,0,1
69,27,42,1,0,1
-19,5,-24,0,0,0
-31,14,-45,0,0,0
1,43,-42,0,0,0
37,36,1,1,0,1
5,-37,42,1,0,1
52,24,28,1,0,1
-8,10,-18,0,0,0
2,15,-13,0,0,0
-78,-34,-44,0,0,0
32,41,-9,0,0,0
0,13,-13,0,0,0
-24,1,-25,0,0,0
-11,-43,32,1,0,1
-19,-2,-17,0,0,0
19,7,12,1,1,0
20,33,-13,0,1,1
-60,-32,-28,0,1,1
-36,-25,-11,0,1,1
21,2,19,1,1,0
-45,-9,-36,0,1,1
-1,30,-31,0,1,1
30,6,24,1,1,0
-47,-9,-38,0,1,1
-73,-40,-33,0,1,1
-68,-45,-23,0,1,1
54,28,26,1,1,0
41,-3,44,1,1,0
-37,-10,-27,0,1,1
4,4,0,0,1,1
49,28,21,1,1,0
-68,-28,-40,0,1,1
23,-9,32,1,0,1
6,32,-26,0,0,0
-32,-16,-16,0,0,0
-72,-35,-37,0,0,0
-55,-16,-39,0,0,0
15,-4,19,1,0,1
18,17,1,1,0,1
22,-2,24,1,0,1
74,42,32,1,0,1
-1,7,-8,0,0,0
-6,-22,16,1,1,0
8,-16,24,1,1,0
4,-22,26,1,1,0
21,13,8,1,1,0
3,0,3,1,1,0
28,-7,35,1,1,0
42,2,40,1,1,0
-5,24,-29,0,1,1
3,-28,31,1,0,1
-15,-38,23,1,0,1
33,26,7,1,0,1
37,-8,45,1,0,1
16,-13,29,1,0,1
-3,-34,31,1,0,1
22,29,-7,0,0,0
-32,9,-41,0,0,0
26,2,24,1,0,1
